miRNA,Target Gene (Entrez Gene ID)
hsa-mir-192,197322
hsa-mir-192,25788
hsa-mir-192,5326
hsa-mir-192,2135
hsa-mir-192,7398
hsa-mir-192,29914
hsa-mir-192,84952
hsa-mir-192,9331
hsa-mir-192,6646
hsa-mir-192,4175
hsa-mir-192,163702
hsa-mir-192,221178
hsa-mir-192,123775
hsa-mir-192,57496
hsa-mir-192,23568
hsa-mir-192,64710
hsa-mir-192,641
hsa-mir-192,115207
hsa-mir-192,9451
hsa-mir-192,157570
hsa-mir-192,8027
hsa-mir-192,8458
hsa-mir-192,221749
hsa-mir-192,10019
hsa-mir-192,5017
hsa-mir-192,9824
hsa-mir-192,65986
hsa-mir-192,840
hsa-mir-192,10732
hsa-mir-192,203111
hsa-mir-192,10309
hsa-mir-192,5611
hsa-mir-192,157
hsa-mir-192,9787
hsa-mir-192,55086
hsa-mir-192,163786
hsa-mir-192,84986
hsa-mir-192,54904
hsa-mir-192,54965
hsa-mir-192,2237
hsa-mir-192,80119
hsa-mir-192,80010
hsa-mir-192,374393
hsa-mir-192,57563
hsa-mir-192,10518
hsa-mir-192,2009
hsa-mir-192,5471
hsa-mir-192,51616
hsa-mir-192,50624
hsa-mir-192,23052
hsa-mir-192,23411
hsa-mir-192,163071
hsa-mir-192,10771
hsa-mir-192,159371
hsa-mir-192,151126
hsa-mir-192,27031
hsa-mir-192,83853
hsa-mir-192,84206
hsa-mir-192,201973
hsa-mir-192,5965
hsa-mir-192,10112
hsa-mir-192,29028
hsa-mir-192,22881
hsa-mir-192,7220
hsa-mir-192,55701
hsa-mir-192,4212
hsa-mir-192,6041
hsa-mir-192,79056
hsa-mir-192,131118
hsa-mir-192,25939
hsa-mir-192,814
hsa-mir-192,145957
hsa-mir-192,81839
hsa-mir-192,1718
hsa-mir-192,133619
hsa-mir-192,5563
hsa-mir-192,79009
hsa-mir-192,6715
hsa-mir-192,58155
hsa-mir-192,10308
hsa-mir-192,81856
hsa-mir-192,8556
hsa-mir-192,55188
hsa-mir-192,51379
hsa-mir-192,26207
hsa-mir-192,23405
hsa-mir-192,1398
hsa-mir-192,324
hsa-mir-192,8324
hsa-mir-192,5888
hsa-mir-192,55719
hsa-mir-192,50813
hsa-mir-192,23456
hsa-mir-192,5499
hsa-mir-192,730094
hsa-mir-192,26271
hsa-mir-192,3306
hsa-mir-192,26260
hsa-mir-192,55802
hsa-mir-192,2353
hsa-mir-192,10024
hsa-mir-192,26098
hsa-mir-192,220213
hsa-mir-192,26147
hsa-mir-192,64332
hsa-mir-192,10426
hsa-mir-192,55128
hsa-mir-192,84002
hsa-mir-192,26747
hsa-mir-192,55632
hsa-mir-192,22936
hsa-mir-192,10565
hsa-mir-192,57722
hsa-mir-192,85459
hsa-mir-192,79805
hsa-mir-192,23484
hsa-mir-192,219844
hsa-mir-192,26577
hsa-mir-192,64116
hsa-mir-192,9928
hsa-mir-192,10793
hsa-mir-192,6907
hsa-mir-192,3398
hsa-mir-192,125242
hsa-mir-192,79866
hsa-mir-192,255738
hsa-mir-192,5188
hsa-mir-192,54602
hsa-mir-192,254887
hsa-mir-192,2628
hsa-mir-192,51337
hsa-mir-192,55776
hsa-mir-192,22836
hsa-mir-192,129607
hsa-mir-192,50937
hsa-mir-192,88455
hsa-mir-192,1389
hsa-mir-192,4925
hsa-mir-192,160335
hsa-mir-192,80821
hsa-mir-192,1839
hsa-mir-192,6924
hsa-mir-192,54832
hsa-mir-192,84959
hsa-mir-192,56977
hsa-mir-192,3556
hsa-mir-192,8507
hsa-mir-192,373
hsa-mir-192,4602
hsa-mir-192,1948
hsa-mir-192,36
hsa-mir-192,254778
hsa-mir-192,80014
hsa-mir-192,158405
hsa-mir-192,55501
hsa-mir-192,22911
hsa-mir-192,221656
hsa-mir-192,1491
hsa-mir-192,6928
hsa-mir-192,57761
hsa-mir-192,85403
hsa-mir-192,5451
hsa-mir-192,3554
hsa-mir-192,285172
hsa-mir-192,4122
hsa-mir-192,56998
hsa-mir-192,90355
hsa-mir-192,64393
hsa-mir-192,23252
hsa-mir-107,6303
hsa-mir-107,83606
hsa-mir-107,27161
hsa-mir-107,6155
hsa-mir-107,4814
hsa-mir-107,284207
hsa-mir-107,192669
hsa-mir-107,3638
hsa-mir-107,51124
hsa-mir-107,55146
hsa-mir-107,26523
hsa-mir-107,1455
hsa-mir-106a,5728
hsa-mir-103a,58506
hsa-mir-103a,4905
hsa-mir-103a,382
hsa-mir-103a,51320
hsa-mir-103a,4520
hsa-mir-103a,3621
hsa-mir-103a,653121
hsa-mir-103a,65244
hsa-mir-103a,80153
hsa-mir-103a,90196
hsa-mir-103a,80095
hsa-mir-103a,22859
hsa-mir-103a,201163
hsa-mir-103a,79581
hsa-mir-103a,10625
hsa-mir-103a,11339
hsa-mir-103a,55165
hsa-mir-103a,84056
hsa-mir-103a,55273
hsa-mir-103a,57181
hsa-mir-103a,6198
hsa-mir-103a,51283
hsa-mir-103a,51199
hsa-mir-103a,83931
hsa-mir-103a,54764
hsa-mir-103a,22875
hsa-mir-103a,23276
hsa-mir-103a,54976
hsa-mir-103a,170850
hsa-mir-103a,6885
hsa-mir-103a,79886
hsa-mir-103a,79065
hsa-mir-103a,3799
hsa-mir-103a,4092
hsa-mir-103a,221061
hsa-mir-103a,84133
hsa-mir-103a,993
hsa-mir-103a,6386
hsa-mir-103a,9113
hsa-mir-103a,54815
hsa-mir-103a,3321
hsa-mir-103a,27
hsa-mir-103a,11108
hsa-mir-103a,57120
hsa-mir-103a,7798
hsa-mir-103a,3181
hsa-mir-103a,9783
hsa-mir-103a,254048
hsa-mir-103a,23080
hsa-mir-103a,57568
hsa-mir-103a,81565
hsa-mir-103a,25777
hsa-mir-103a,6299
hsa-mir-103a,223082
hsa-mir-103a,11080
hsa-mir-103a,91746
hsa-mir-103a,9683
hsa-mir-103a,79572
hsa-mir-103a,11244
hsa-mir-103a,403341
hsa-mir-103a,3638
hsa-mir-103a,6426
hsa-mir-103a,80173
hsa-mir-103a,55320
hsa-mir-103a,55183
hsa-mir-103a,23185
hsa-mir-103a,57559
hsa-mir-103a,80012
hsa-mir-103a,10295
hsa-mir-103a,10944
hsa-mir-103a,10370
hsa-mir-103a,10138
hsa-mir-103a,3920
hsa-mir-103a,25940
hsa-mir-103a,154791
hsa-mir-103a,57532
hsa-mir-103a,84132
hsa-mir-103a,10123
hsa-mir-103a,5045
hsa-mir-103a,159090
hsa-mir-103a,51629
hsa-mir-103a,7091
hsa-mir-103a,55573
hsa-mir-103a,121536
hsa-mir-103a,90522
hsa-mir-103a,116224
hsa-mir-103a,375061
hsa-mir-103a,3200
hsa-mir-103a,81618
hsa-mir-103a,258010
hsa-mir-103a,9988
hsa-mir-103a,8349
hsa-mir-103a,3226
hsa-mir-103a,55591
hsa-mir-103a,2745
hsa-mir-103a,23409
hsa-mir-103a,8434
hsa-mir-103a,518
hsa-mir-103a,6651
hsa-mir-103a,6536
hsa-mir-103a,5576
hsa-mir-103a,4644
hsa-mir-103a,51166
hsa-mir-103a,54776
hsa-mir-103a,58490
hsa-mir-103a,5144
hsa-mir-103a,10061
hsa-mir-103a,51479
hsa-mir-103a,23710
hsa-mir-103a,160
hsa-mir-103a,55291
hsa-mir-103a,9908
hsa-mir-103a,60485
hsa-mir-103a,6992
hsa-mir-103a,81876
hsa-mir-103a,3836
hsa-mir-103a,347734
hsa-mir-103a,6605
hsa-mir-103a,220002
hsa-mir-103a,29775
hsa-mir-103a,11212
hsa-mir-103a,93
hsa-mir-103a,23023
hsa-mir-103a,6249
hsa-mir-103a,64089
hsa-mir-103a,8451
hsa-mir-103a,403
hsa-mir-103a,22863
hsa-mir-103a,8445
hsa-mir-103a,90441
hsa-mir-103a,90809
hsa-mir-103a,8731
hsa-mir-103a,4524
hsa-mir-103a,5128
hsa-mir-103a,5565
hsa-mir-103a,10714
hsa-mir-103a,57589
hsa-mir-103a,3673
hsa-mir-103a,8036
hsa-mir-103a,23039
hsa-mir-103a,5255
hsa-mir-103a,3749
hsa-mir-103a,862
hsa-mir-103a,23112
hsa-mir-103a,55585
hsa-mir-103a,9931
hsa-mir-103a,57088
hsa-mir-103a,5324
hsa-mir-103a,132864
hsa-mir-103a,10762
hsa-mir-103a,89780
hsa-mir-103a,23163
hsa-mir-103a,55824
hsa-mir-103a,7203
hsa-mir-103a,9832
hsa-mir-103a,8313
hsa-mir-103a,55870
hsa-mir-103a,9874
hsa-mir-103a,27351
hsa-mir-103a,2247
hsa-mir-103a,79447
hsa-mir-103a,27042
hsa-mir-103a,5888
hsa-mir-103a,3460
hsa-mir-103a,3239
hsa-mir-103a,4134
hsa-mir-103a,55218
hsa-mir-103a,51715
hsa-mir-103a,56652
hsa-mir-103a,2782
hsa-mir-103a,113829
hsa-mir-103a,56929
hsa-mir-103a,9969
hsa-mir-103a,10291
hsa-mir-103a,29126
hsa-mir-103a,813
hsa-mir-103a,596
hsa-mir-103a,26031
hsa-mir-103a,4302
hsa-mir-103a,80314
hsa-mir-103a,157922
hsa-mir-103a,9567
hsa-mir-103a,54805
hsa-mir-103a,81602
hsa-mir-103a,26156
hsa-mir-103a,85365
hsa-mir-103a,127829
hsa-mir-103a,10946
hsa-mir-103a,65124
hsa-mir-103a,56603
hsa-mir-103a,10908
hsa-mir-103a,160897
hsa-mir-103a,79869
hsa-mir-103a,54926
hsa-mir-103a,9793
hsa-mir-103a,463
hsa-mir-103a,23234
hsa-mir-103a,10645
hsa-mir-103a,255488
hsa-mir-103a,1948
hsa-mir-103a,771
hsa-mir-103a,55312
hsa-mir-103a,2280
hsa-mir-103a,79188
hsa-mir-103a,2799
hsa-mir-103a,64768
hsa-mir-103a,51026
hsa-mir-103a,8650
hsa-mir-103a,161742
hsa-mir-103a,7020
hsa-mir-103a,5774
hsa-mir-103a,154214
hsa-mir-103a,23067
hsa-mir-103a,79441
hsa-mir-103a,11329
hsa-mir-103a,10479
hsa-mir-103a,55026
hsa-mir-103a,4645
hsa-mir-103a,2020
hsa-mir-103a,9467
hsa-mir-103a,65975
hsa-mir-103a,80155
hsa-mir-103a,55038
hsa-mir-103a,57534
hsa-mir-103a,152559
hsa-mir-103a,54980
hsa-mir-103a,81563
hsa-mir-103a,23232
hsa-mir-103a,25790
hsa-mir-103a,9958
hsa-mir-103a,9110
hsa-mir-103a,144455
hsa-mir-103a,55664
hsa-mir-103a,84458
hsa-mir-103a,56061
hsa-mir-103a,10640
hsa-mir-103a,7163
hsa-mir-103a,359948
hsa-mir-103a,7791
hsa-mir-103a,26010
hsa-mir-103a,830
hsa-mir-103a,29035
hsa-mir-103a,8867
hsa-mir-103a,7465
hsa-mir-103a,79571
hsa-mir-103a,5813
hsa-mir-103a,26147
hsa-mir-103a,5166
hsa-mir-103a,27183
hsa-mir-103a,3798
hsa-mir-103a,55294
hsa-mir-103a,3267
hsa-mir-103a,1021
hsa-mir-103a,7533
hsa-mir-103a,5537
hsa-mir-29b,5295
hsa-mir-29b,3614
hsa-mir-29b,4613
hsa-mir-101,9989
hsa-mir-101,64781
hsa-mir-101,51479
hsa-mir-101,26205
hsa-mir-101,7049
hsa-mir-101,65080
hsa-mir-101,2872
hsa-mir-101,7320
hsa-mir-101,7422
hsa-mir-101,8872
hsa-mir-101,26092
hsa-mir-101,4436
hsa-mir-101,163081
hsa-mir-101,201931
hsa-mir-101,55119
hsa-mir-101,8317
hsa-mir-101,116068
hsa-mir-101,51762
hsa-mir-101,5305
hsa-mir-101,151230
hsa-mir-101,6542
hsa-mir-101,54407
hsa-mir-101,7905
hsa-mir-101,126375
hsa-mir-101,55327
hsa-mir-101,5604
hsa-mir-101,64418
hsa-mir-101,27292
hsa-mir-101,9118
hsa-mir-101,331
hsa-mir-101,7026
hsa-mir-101,170850
hsa-mir-101,202243
hsa-mir-101,80223
hsa-mir-101,9945
hsa-mir-101,283489
hsa-mir-101,3110
hsa-mir-101,122786
hsa-mir-101,5324
hsa-mir-101,26985
hsa-mir-101,65258
hsa-mir-101,28977
hsa-mir-101,5879
hsa-mir-101,285672
hsa-mir-101,54726
hsa-mir-101,80007
hsa-mir-101,57608
hsa-mir-101,23515
hsa-mir-101,60436
hsa-mir-101,11215
hsa-mir-101,130340
hsa-mir-101,10617
hsa-mir-101,7323
hsa-mir-101,164
hsa-mir-101,51780
hsa-mir-101,11097
hsa-mir-101,23135
hsa-mir-101,10150
hsa-mir-101,10048
hsa-mir-101,22858
hsa-mir-101,92154
hsa-mir-101,49854
hsa-mir-101,84159
hsa-mir-101,58489
hsa-mir-101,55257
hsa-mir-101,25843
hsa-mir-101,54891
hsa-mir-101,4211
hsa-mir-101,1635
hsa-mir-101,65987
hsa-mir-101,332
hsa-mir-101,54877
hsa-mir-101,9252
hsa-mir-101,93
hsa-mir-101,4289
hsa-mir-101,54799
hsa-mir-101,83607
hsa-mir-101,11004
hsa-mir-101,3725
hsa-mir-101,29761
hsa-mir-101,57038
hsa-mir-101,4179
hsa-mir-101,4839
hsa-mir-101,26046
hsa-mir-101,8323
hsa-mir-101,9218
hsa-mir-101,23039
hsa-mir-101,7832
hsa-mir-101,253714
hsa-mir-101,116113
hsa-mir-101,285855
hsa-mir-101,9825
hsa-mir-101,80204
hsa-mir-101,22838
hsa-mir-101,1871
hsa-mir-101,4001
hsa-mir-101,160418
hsa-mir-101,3205
hsa-mir-101,84188
hsa-mir-101,57678
hsa-mir-101,84890
hsa-mir-101,57142
hsa-mir-101,1993
hsa-mir-101,9646
hsa-mir-101,29956
hsa-mir-101,84328
hsa-mir-101,55591
hsa-mir-101,6602
hsa-mir-101,55781
hsa-mir-101,8535
hsa-mir-101,55752
hsa-mir-101,79832
hsa-mir-101,4649
hsa-mir-101,824
hsa-mir-101,7023
hsa-mir-101,6744
hsa-mir-101,23232
hsa-mir-101,6674
hsa-mir-101,168850
hsa-mir-101,154743
hsa-mir-101,26258
hsa-mir-101,56907
hsa-mir-101,10818
hsa-mir-101,100113407
hsa-mir-101,27125
hsa-mir-101,2782
hsa-mir-101,3930
hsa-mir-101,7543
hsa-mir-101,11278
hsa-mir-101,23469
hsa-mir-101,148423
hsa-mir-101,23554
hsa-mir-101,63939
hsa-mir-101,10923
hsa-mir-101,607
hsa-mir-101,22908
hsa-mir-101,116984
hsa-mir-101,55809
hsa-mir-101,57532
hsa-mir-101,23396
hsa-mir-101,5048
hsa-mir-101,54541
hsa-mir-101,7046
hsa-mir-101,57631
hsa-mir-101,3977
hsa-mir-101,55294
hsa-mir-101,5451
hsa-mir-101,9139
hsa-mir-101,84458
hsa-mir-101,121536
hsa-mir-101,140609
hsa-mir-101,54842
hsa-mir-33a,648
hsa-mir-33a,7703
hsa-mir-33a,373
hsa-mir-33a,55108
hsa-mir-33a,157378
hsa-mir-33a,51278
hsa-mir-33a,79002
hsa-mir-33a,7251
hsa-mir-33a,7764
hsa-mir-33a,7072
hsa-mir-33a,23054
hsa-mir-33a,6945
hsa-mir-33a,2967
hsa-mir-33a,84236
hsa-mir-33a,3396
hsa-mir-33a,166968
hsa-mir-33a,10618
hsa-mir-33a,8915
hsa-mir-33a,56605
hsa-mir-33a,55914
hsa-mir-33a,3775
hsa-mir-33a,3148
hsa-mir-33a,57826
hsa-mir-33a,1054
hsa-mir-33a,64145
hsa-mir-33a,283464
hsa-mir-33a,126382
hsa-mir-33a,80790
hsa-mir-33a,415116
hsa-mir-33a,2733
hsa-mir-33a,3939
hsa-mir-33a,1408
hsa-mir-33a,283554
hsa-mir-33a,79801
hsa-mir-33a,3091
hsa-mir-33a,9644
hsa-mir-33a,25897
hsa-mir-33a,142891
hsa-mir-33a,84085
hsa-mir-33a,55342
hsa-mir-33a,56262
hsa-mir-33a,1456
hsa-mir-33a,57142
hsa-mir-33a,3205
hsa-mir-33a,10490
hsa-mir-33a,54014
hsa-mir-33a,147463
hsa-mir-33a,1825
hsa-mir-33a,85463
hsa-mir-33a,9792
hsa-mir-33a,60412
hsa-mir-33a,259230
hsa-mir-33a,51474
hsa-mir-33a,5599
hsa-mir-33a,55643
hsa-mir-33a,64895
hsa-mir-33a,131566
hsa-mir-33a,11215
hsa-mir-33a,687
hsa-mir-33a,5868
hsa-mir-33a,27086
hsa-mir-33a,6815
hsa-mir-33a,23516
hsa-mir-33a,55607
hsa-mir-33a,57532
hsa-mir-33a,7533
hsa-mir-33a,5292
hsa-mir-32,23348
hsa-mir-32,79003
hsa-mir-32,23287
hsa-mir-32,8520
hsa-mir-32,55327
hsa-mir-32,4520
hsa-mir-32,116150
hsa-mir-32,22904
hsa-mir-32,11244
hsa-mir-32,143098
hsa-mir-32,90268
hsa-mir-32,114882
hsa-mir-32,132660
hsa-mir-32,348995
hsa-mir-32,3021
hsa-mir-32,56204
hsa-mir-32,219541
hsa-mir-32,55521
hsa-mir-32,29070
hsa-mir-32,56947
hsa-mir-32,57459
hsa-mir-32,3655
hsa-mir-32,54788
hsa-mir-32,166968
hsa-mir-32,996
hsa-mir-32,23515
hsa-mir-32,59338
hsa-mir-32,9945
hsa-mir-32,56995
hsa-mir-32,7110
hsa-mir-32,11044
hsa-mir-32,50862
hsa-mir-32,55284
hsa-mir-32,84464
hsa-mir-32,255919
hsa-mir-32,64919
hsa-mir-32,2802
hsa-mir-32,55082
hsa-mir-32,84255
hsa-mir-32,3156
hsa-mir-32,9825
hsa-mir-32,85415
hsa-mir-32,7360
hsa-mir-32,7789
hsa-mir-32,4747
hsa-mir-32,55638
hsa-mir-32,55643
hsa-mir-32,7204
hsa-mir-32,57224
hsa-mir-32,57542
hsa-mir-32,2908
hsa-mir-32,3096
hsa-mir-32,57541
hsa-mir-32,9753
hsa-mir-32,79609
hsa-mir-32,26292
hsa-mir-32,1399
hsa-mir-32,142891
hsa-mir-32,27005
hsa-mir-32,200081
hsa-mir-32,2247
hsa-mir-32,1825
hsa-mir-32,23299
hsa-mir-32,79801
hsa-mir-32,63875
hsa-mir-32,92912
hsa-mir-32,84622
hsa-mir-32,23151
hsa-mir-32,80142
hsa-mir-32,9525
hsa-mir-32,3638
hsa-mir-32,667
hsa-mir-32,4756
hsa-mir-32,57532
hsa-mir-32,10061
hsa-mir-32,9134
hsa-mir-32,58488
hsa-mir-32,7533
hsa-mir-32,55660
hsa-mir-32,9586
hsa-mir-32,51111
hsa-mir-32,54517
hsa-mir-32,440270
hsa-mir-32,26060
hsa-mir-32,80854
hsa-mir-32,53335
hsa-mir-32,55914
hsa-mir-32,50807
hsa-mir-32,7405
hsa-mir-32,25800
hsa-mir-32,123811
hsa-mir-32,81034
hsa-mir-32,255231
hsa-mir-32,10767
hsa-mir-32,9445
hsa-mir-32,22976
hsa-mir-32,285172
hsa-mir-32,91947
hsa-mir-32,23112
hsa-mir-32,6121
hsa-mir-32,1871
hsa-mir-32,23219
hsa-mir-32,6310
hsa-mir-32,23396
hsa-mir-32,25921
hsa-mir-32,23543
hsa-mir-32,4644
hsa-mir-32,23015
hsa-mir-32,57719
hsa-mir-32,908
hsa-mir-32,586
hsa-mir-32,10640
hsa-mir-32,85015
hsa-mir-32,6815
hsa-mir-32,196441
hsa-mir-32,8867
hsa-mir-32,3708
hsa-mir-32,3344
hsa-mir-32,150094
hsa-mir-32,283377
hsa-mir-32,79717
hsa-mir-32,6744
hsa-mir-32,3685
hsa-mir-32,54776
hsa-mir-32,26575
hsa-mir-32,60313
hsa-mir-32,23035
hsa-mir-32,23657
hsa-mir-32,55852
hsa-mir-32,65264
hsa-mir-32,80315
hsa-mir-32,9258
hsa-mir-32,587
hsa-mir-32,4189
hsa-mir-32,51290
hsa-mir-32,9695
hsa-mir-32,10184
hsa-mir-30a,960
hsa-mir-30a,8872
hsa-mir-30a,55748
hsa-mir-30a,6301
hsa-mir-30a,83871
hsa-mir-30a,56919
hsa-mir-30a,5481
hsa-mir-30a,23478
hsa-mir-30a,51118
hsa-mir-30a,158747
hsa-mir-30a,9031
hsa-mir-30a,3799
hsa-mir-30a,7358
hsa-mir-30a,8531
hsa-mir-30a,81565
hsa-mir-30a,7328
hsa-mir-30a,4361
hsa-mir-30a,7052
hsa-mir-30a,10043
hsa-mir-30a,5268
hsa-mir-30a,6648
hsa-mir-30a,2101
hsa-mir-30a,54973
hsa-mir-30a,58506
hsa-mir-30a,6319
hsa-mir-30a,4355
hsa-mir-30a,6607
hsa-mir-30a,79631
hsa-mir-30a,7262
hsa-mir-30a,54509
hsa-mir-30a,57459
hsa-mir-30a,382
hsa-mir-30a,55239
hsa-mir-30a,55466
hsa-mir-30a,5464
hsa-mir-30a,29107
hsa-mir-30a,57410
hsa-mir-30a,3098
hsa-mir-30a,5116
hsa-mir-30a,8295
hsa-mir-30a,7045
hsa-mir-30a,9260
hsa-mir-30a,57020
hsa-mir-30a,1153
hsa-mir-30a,8890
hsa-mir-30a,2787
hsa-mir-30a,54919
hsa-mir-30a,57707
hsa-mir-30a,23534
hsa-mir-30a,4258
hsa-mir-30a,3728
hsa-mir-30a,27000
hsa-mir-30a,51692
hsa-mir-30a,10209
hsa-mir-30a,91869
hsa-mir-30a,1175
hsa-mir-30a,6386
hsa-mir-30a,10427
hsa-mir-30a,124801
hsa-mir-30a,831
hsa-mir-30a,2230
hsa-mir-30a,5594
hsa-mir-30a,55035
hsa-mir-30a,201931
hsa-mir-30a,51143
hsa-mir-30a,54884
hsa-mir-30a,598
hsa-mir-30a,10787
hsa-mir-30a,3949
hsa-mir-30a,7905
hsa-mir-30a,1371
hsa-mir-30a,528
hsa-mir-30a,11010
hsa-mir-30a,11080
hsa-mir-30a,9236
hsa-mir-30a,54708
hsa-mir-30a,390
hsa-mir-30a,79139
hsa-mir-30a,51552
hsa-mir-30a,53
hsa-mir-30a,114882
hsa-mir-30a,55197
hsa-mir-30a,6241
hsa-mir-30a,3655
hsa-mir-30a,170506
hsa-mir-30a,7514
hsa-mir-30a,388
hsa-mir-30a,92140
hsa-mir-30a,10440
hsa-mir-30a,4125
hsa-mir-30a,134266
hsa-mir-30a,10381
hsa-mir-30a,10548
hsa-mir-30a,8078
hsa-mir-30a,374454
hsa-mir-30a,5514
hsa-mir-30a,10606
hsa-mir-30a,6651
hsa-mir-30a,9052
hsa-mir-30a,728340
hsa-mir-30a,2745
hsa-mir-30a,6594
hsa-mir-30a,144983
hsa-mir-30a,8803
hsa-mir-30a,3836
hsa-mir-30a,6606
hsa-mir-30a,4731
hsa-mir-30a,54331
hsa-mir-30a,3854
hsa-mir-30a,51018
hsa-mir-30a,5498
hsa-mir-30a,26986
hsa-mir-30a,1659
hsa-mir-30a,58490
hsa-mir-30a,2966
hsa-mir-30a,5557
hsa-mir-30a,5321
hsa-mir-30a,93034
hsa-mir-30a,6558
hsa-mir-30a,10973
hsa-mir-30a,6624
hsa-mir-30a,3276
hsa-mir-30a,84549
hsa-mir-30a,7204
hsa-mir-30a,79693
hsa-mir-30a,353376
hsa-mir-30a,27247
hsa-mir-30a,991
hsa-mir-30a,84365
hsa-mir-30a,55163
hsa-mir-30a,1499
hsa-mir-30a,135114
hsa-mir-30a,1605
hsa-mir-30a,27303
hsa-mir-30a,1967
hsa-mir-30a,10226
hsa-mir-30a,64778
hsa-mir-30a,7866
hsa-mir-30a,26512
hsa-mir-30a,81605
hsa-mir-30a,7073
hsa-mir-30a,53944
hsa-mir-30a,5520
hsa-mir-30a,5562
hsa-mir-30a,3832
hsa-mir-30a,113251
hsa-mir-30a,7534
hsa-mir-30a,81889
hsa-mir-30a,57498
hsa-mir-30a,64225
hsa-mir-30a,1829
hsa-mir-30a,8087
hsa-mir-30a,7431
hsa-mir-30a,7803
hsa-mir-30a,10802
hsa-mir-30a,253558
hsa-mir-30a,60481
hsa-mir-30a,54809
hsa-mir-30a,23029
hsa-mir-30a,10605
hsa-mir-30a,5394
hsa-mir-30a,4047
hsa-mir-30a,5606
hsa-mir-30a,3691
hsa-mir-30a,7162
hsa-mir-30a,5412
hsa-mir-30a,1678
hsa-mir-30a,10799
hsa-mir-30a,5763
hsa-mir-30a,5270
hsa-mir-30a,5527
hsa-mir-30a,23481
hsa-mir-30a,80762
hsa-mir-30a,92745
hsa-mir-30a,23603
hsa-mir-30a,4292
hsa-mir-30a,1662
hsa-mir-30a,84191
hsa-mir-30a,29894
hsa-mir-30a,9320
hsa-mir-30a,11102
hsa-mir-30a,643246
hsa-mir-30a,8602
hsa-mir-30a,10273
hsa-mir-30a,8724
hsa-mir-30a,25831
hsa-mir-30a,54663
hsa-mir-30a,64969
hsa-mir-30a,26519
hsa-mir-30a,7542
hsa-mir-30a,54820
hsa-mir-30a,9790
hsa-mir-30a,10181
hsa-mir-30a,23185
hsa-mir-30a,23450
hsa-mir-30a,4967
hsa-mir-30a,9882
hsa-mir-30a,11018
hsa-mir-30a,283459
hsa-mir-30a,81631
hsa-mir-30a,3337
hsa-mir-30a,25814
hsa-mir-30a,50999
hsa-mir-30a,51103
hsa-mir-30a,6455
hsa-mir-30a,51569
hsa-mir-30a,475
hsa-mir-30a,3840
hsa-mir-30a,57109
hsa-mir-30a,1956
hsa-mir-30a,11235
hsa-mir-30a,85465
hsa-mir-30a,526
hsa-mir-30a,23198
hsa-mir-30a,23197
hsa-mir-30a,3480
hsa-mir-30a,60559
hsa-mir-30a,2200
hsa-mir-30a,9341
hsa-mir-30a,54715
hsa-mir-30a,4659
hsa-mir-30a,23011
hsa-mir-30a,8675
hsa-mir-30a,847
hsa-mir-30a,10905
hsa-mir-30a,23456
hsa-mir-30a,5431
hsa-mir-30a,860
hsa-mir-30a,55003
hsa-mir-30a,3024
hsa-mir-30a,204
hsa-mir-30a,55157
hsa-mir-30a,55850
hsa-mir-30a,85450
hsa-mir-30a,84135
hsa-mir-30a,27332
hsa-mir-30a,10898
hsa-mir-30a,9894
hsa-mir-30a,3301
hsa-mir-30a,79017
hsa-mir-30a,6892
hsa-mir-30a,26520
hsa-mir-30a,383
hsa-mir-30a,1455
hsa-mir-30a,55759
hsa-mir-30a,3980
hsa-mir-30a,3783
hsa-mir-30a,1500
hsa-mir-30a,5432
hsa-mir-30a,79009
hsa-mir-30a,11331
hsa-mir-30a,5611
hsa-mir-30a,25939
hsa-mir-30a,11345
hsa-mir-30a,29920
hsa-mir-30a,327
hsa-mir-30a,10873
hsa-mir-30a,112464
hsa-mir-30a,301
hsa-mir-30a,581
hsa-mir-30a,51388
hsa-mir-30a,5315
hsa-mir-30a,10539
hsa-mir-30a,23078
hsa-mir-30a,7531
hsa-mir-30a,55813
hsa-mir-30a,2182
hsa-mir-30a,824
hsa-mir-30a,64708
hsa-mir-30a,23543
hsa-mir-30a,27257
hsa-mir-30a,1456
hsa-mir-30a,8899
hsa-mir-30a,5501
hsa-mir-30a,9197
hsa-mir-30a,4673
hsa-mir-30a,57038
hsa-mir-30a,51761
hsa-mir-30a,121457
hsa-mir-30a,1000
hsa-mir-30a,2764
hsa-mir-30a,10092
hsa-mir-30a,84128
hsa-mir-30a,115426
hsa-mir-30a,2965
hsa-mir-30a,9329
hsa-mir-30a,3178
hsa-mir-30a,10672
hsa-mir-30a,1176
hsa-mir-30a,8301
hsa-mir-30a,10613
hsa-mir-29a,1281
hsa-mir-27a,54386
hsa-mir-27a,51474
hsa-mir-27a,83743
hsa-mir-27a,7073
hsa-mir-27a,10681
hsa-mir-27a,6780
hsa-mir-27a,84823
hsa-mir-27a,9252
hsa-mir-27a,23067
hsa-mir-27a,160418
hsa-mir-27a,3400
hsa-mir-27a,138716
hsa-mir-27a,23204
hsa-mir-27a,84922
hsa-mir-27a,51571
hsa-mir-27a,116068
hsa-mir-27a,9867
hsa-mir-27a,223
hsa-mir-27a,80854
hsa-mir-27a,9516
hsa-mir-27a,51111
hsa-mir-27a,55754
hsa-mir-27a,221687
hsa-mir-27a,253714
hsa-mir-27a,55737
hsa-mir-27a,5324
hsa-mir-27a,152185
