miRNA,Target Gene (Entrez Gene ID)
hsa-mir-145,7525
hsa-mir-519d,5465
hsa-mir-155,3635
hsa-mir-223,1869
hsa-mir-224,7852
hsa-mir-224,998
hsa-mir-181b,7078
hsa-mir-146a,8772
hsa-mir-9,5452
hsa-mir-9,604
hsa-mir-9,2113
hsa-mir-503,1026
hsa-mir-503,899
hsa-mir-503,7465
hsa-mir-503,9134
hsa-mir-503,898
hsa-mir-503,1111
hsa-mir-503,993
hsa-mir-503,26523
hsa-mir-503,22926
hsa-mir-503,54443
hsa-mir-503,8556
hsa-mir-424,899
hsa-mir-424,8556
hsa-mir-424,993
hsa-mir-424,1111
hsa-mir-424,9493
hsa-mir-424,22926
hsa-mir-424,7465
hsa-mir-424,54443
hsa-mir-122,5879
hsa-mir-206,4854
hsa-mir-335,3371
hsa-mir-7,5058
hsa-mir-182,2309
hsa-mir-21,10253
hsa-mir-145,865
hsa-mir-145,5530
hsa-mir-145,9685
hsa-mir-29a,1021
hsa-mir-29b,1021
hsa-let-7c,7046
hsa-mir-140,9759
hsa-mir-34a,4609
hsa-mir-424,5324
hsa-mir-181b,5324
hsa-mir-181a,5324
hsa-mir-302c,2099
hsa-mir-206,2099
hsa-mir-193b,2099
hsa-mir-18b,2099
hsa-mir-18a,2099
hsa-mir-135a,3717
hsa-let-7a,3690
hsa-mir-196a,301
hsa-mir-146a,7189
hsa-mir-146a,3654
hsa-mir-143,1788
hsa-mir-122,387
hsa-mir-330,1869
hsa-mir-222,1028
hsa-mir-34a,4602
hsa-mir-373,7422
hsa-mir-302d,7422
hsa-mir-200b,9839
hsa-mir-200b,8314
hsa-mir-200c,8487
hsa-mir-200c,8314
hsa-mir-141,8314
hsa-mir-200a,8314
hsa-mir-145,3667
hsa-mir-145,79668
hsa-mir-34c,4602
hsa-mir-34b,4602
hsa-mir-34a,8091
hsa-mir-34a,1875
hsa-mir-34a,995
hsa-mir-34c,857
hsa-mir-34b,857
hsa-mir-34c,4233
hsa-mir-34b,4233
hsa-mir-34a,4233
hsa-mir-34c,1871
hsa-mir-34b,1021
hsa-mir-34a,1019
hsa-mir-34b,1019
hsa-mir-34c,1019
hsa-mir-34c,9134
hsa-mir-34b,9134
hsa-mir-34a,9134
hsa-mir-224,51209
hsa-mir-224,5159
hsa-mir-200a,9908
hsa-mir-200a,5100
hsa-mir-200a,27314
hsa-mir-199a,2114
hsa-mir-199a,4204
hsa-mir-199a,10001
hsa-mir-199a,3726
hsa-mir-195,10018
hsa-mir-18a,10644
hsa-mir-195,4204
hsa-mir-138,85414
hsa-mir-126,85414
hsa-mir-214,5728
hsa-mir-107,23621
hsa-mir-16,51209
hsa-mir-15a,51209
hsa-mir-16,10121
hsa-mir-15a,10121
hsa-mir-16,7167
hsa-mir-15a,7167
hsa-mir-16,27250
hsa-mir-15a,27250
hsa-mir-16,23011
hsa-mir-15a,23011
hsa-mir-15a,596
hsa-mir-16,7490
hsa-mir-15a,7490
hsa-mir-16,55252
hsa-mir-15a,55252
hsa-mir-16,26175
hsa-mir-15a,26175
hsa-mir-16,22900
hsa-mir-15a,22900
hsa-mir-16,8555
hsa-mir-15a,8555
hsa-mir-16,55835
hsa-mir-15a,55835
hsa-mir-16,80254
hsa-mir-15a,80254
hsa-mir-16,1389
hsa-mir-15a,1389
hsa-mir-16,55862
hsa-mir-15a,55862
hsa-mir-16,9950
hsa-mir-15a,9950
hsa-mir-16,55204
hsa-mir-15a,55204
hsa-mir-16,2965
hsa-mir-15a,2965
hsa-mir-16,3021
hsa-mir-15a,3021
hsa-mir-16,57531
hsa-mir-15a,57531
hsa-mir-16,84064
hsa-mir-15a,84064
hsa-mir-16,55008
hsa-mir-15a,55008
hsa-mir-16,10247
hsa-mir-15a,10247
hsa-mir-16,84263
hsa-mir-15a,84263
hsa-mir-15a,3303
hsa-mir-16,3725
hsa-mir-15a,3725
hsa-mir-16,4170
hsa-mir-15a,4170
hsa-mir-16,4436
hsa-mir-15a,4436
hsa-mir-16,115209
hsa-mir-15a,115209
hsa-mir-16,64172
hsa-mir-15a,64172
hsa-mir-16,10015
hsa-mir-15a,10015
hsa-mir-16,5257
hsa-mir-15a,5257
hsa-mir-16,5378
hsa-mir-15a,5378
hsa-mir-16,5411
hsa-mir-15a,5411
hsa-mir-16,5557
hsa-mir-15a,5557
hsa-mir-16,5889
hsa-mir-15a,5889
hsa-mir-16,55288
hsa-mir-15a,55288
hsa-mir-16,6041
hsa-mir-15a,6041
hsa-mir-16,10559
hsa-mir-15a,10559
hsa-mir-16,51000
hsa-mir-15a,51000
hsa-mir-16,7072
hsa-mir-15a,7072
hsa-mir-16,7358
hsa-mir-15a,7358
hsa-mir-16,7360
hsa-mir-15a,7360
hsa-mir-16,84527
hsa-mir-15a,84527
hsa-mir-29c,1281
hsa-mir-29c,1277
hsa-mir-29b,23621
hsa-mir-1,10021
hsa-mir-150,4602
hsa-mir-424,898
hsa-mir-424,896
hsa-mir-424,1021
hsa-mir-16,1021
hsa-mir-16,896
hsa-mir-424,595
hsa-mir-146a,6093
hsa-mir-203a,7405
hsa-mir-21,7078
hsa-mir-148a,1789
hsa-mir-130a,3202
hsa-mir-21,6660
hsa-mir-21,4507
hsa-mir-126,9134
hsa-mir-126,5998
hsa-mir-126,10043
hsa-mir-21,8434
hsa-mir-155,55070
hsa-mir-155,4090
hsa-mir-155,3097
hsa-mir-155,22834
hsa-mir-155,7547
hsa-mir-17,5800
hsa-mir-15b,596
hsa-mir-34a,4613
hsa-mir-32,10419
hsa-mir-25,10419
hsa-mir-377,5494
hsa-mir-377,5058
hsa-mir-377,6647
hsa-mir-377,6648
hsa-mir-519c,9429
hsa-mir-34a,896
hsa-mir-34a,993
hsa-mir-34a,1021
hsa-mir-34a,595
hsa-mir-26a,1024
hsa-mir-26a,990
hsa-mir-200a,9839
hsa-mir-200c,9839
hsa-mir-125b,3976
hsa-mir-26a,3976
hsa-mir-346,3976
hsa-mir-196b,3218
hsa-mir-155,571
hsa-mir-1,9759
hsa-mir-1,27086
hsa-mir-218,10150
hsa-mir-218,1942
hsa-mir-218,9688
hsa-mir-218,23107
hsa-mir-218,10682
hsa-mir-218,3914
hsa-mir-128,1641
hsa-mir-128,5649
hsa-mir-370,1326
hsa-mir-155,3720
hsa-mir-133b,599
hsa-mir-182,2308
hsa-mir-27a,2308
hsa-mir-26a,5728
hsa-mir-421,494115
hsa-mir-421,23492
hsa-mir-503,595
hsa-mir-223,388
hsa-mir-199b,6418
hsa-mir-21,1870
hsa-mir-105,7097
hsa-mir-346,695
hsa-mir-10a,3198
hsa-mir-130a,9935
hsa-mir-17,5311
hsa-mir-338,4035
hsa-mir-545,4035
hsa-mir-205,4035
hsa-mir-19b,4306
hsa-mir-135a,4306
hsa-mir-124,4306
hsa-mir-200a,1499
hsa-mir-23b,118471
hsa-mir-31,50943
hsa-mir-21,2331
hsa-mir-21,7048
hsa-mir-21,5728
hsa-mir-21,1869
hsa-mir-29a,5901
hsa-mir-125b,7421
hsa-mir-433,2885
hsa-mir-9,83871
hsa-mir-133a,775
hsa-mir-133a,610
hsa-mir-1,610
hsa-mir-17,10018
hsa-mir-155,324
hsa-mir-21,7045
hsa-mir-494,5728
hsa-mir-27a,5245
hsa-mir-101,2353
hsa-mir-21,9208
hsa-mir-21,4082
hsa-mir-182,5916
hsa-mir-106a,1026
hsa-mir-16,595
hsa-mir-16,898
hsa-mir-15a,595
hsa-mir-15a,898
hsa-let-7b,997
hsa-mir-605,9871
hsa-mir-34a,7471
hsa-mir-34a,8313
hsa-mir-107,1021
hsa-mir-1,10971
hsa-mir-1,57590
hsa-mir-1,81622
hsa-mir-1,29128
hsa-mir-1,7170
hsa-mir-1,7169
hsa-mir-1,7168
hsa-mir-1,7057
hsa-mir-1,23345
hsa-mir-1,8636
hsa-mir-1,58533
hsa-mir-1,79751
hsa-mir-1,6576
hsa-mir-1,83442
hsa-mir-1,94081
hsa-mir-1,11196
hsa-mir-1,29901
hsa-mir-1,91869
hsa-mir-1,11137
hsa-mir-1,5792
hsa-mir-1,201562
hsa-mir-1,51495
hsa-mir-1,5757
hsa-mir-1,58155
hsa-mir-1,5725
hsa-mir-1,10942
hsa-mir-1,5479
hsa-mir-1,23649
hsa-mir-1,8301
hsa-mir-1,9260
hsa-mir-1,8829
hsa-mir-1,4853
hsa-mir-1,10797
hsa-mir-1,9902
hsa-mir-1,4343
hsa-mir-1,4233
hsa-mir-1,56262
hsa-mir-1,4035
hsa-mir-1,2147
hsa-mir-1,3691
hsa-mir-1,128239
hsa-mir-1,2820
hsa-mir-1,51125
hsa-mir-1,64841
hsa-mir-1,2580
hsa-mir-1,10919
hsa-mir-1,79813
hsa-mir-1,1956
hsa-mir-1,3337
hsa-mir-1,1075
hsa-mir-1,1465
hsa-mir-1,1371
hsa-mir-1,23603
hsa-mir-1,8161
hsa-mir-1,64866
hsa-mir-1,55832
hsa-mir-1,140707
hsa-mir-1,594
hsa-mir-1,535
hsa-mir-1,9070
hsa-mir-1,196528
hsa-mir-1,8289
hsa-mir-1,8943
hsa-mir-1,8546
hsa-mir-1,302
hsa-mir-1,290
hsa-mir-1,10541
hsa-mir-1,375790
hsa-mir-1,79814
hsa-mir-1,83440
hsa-mir-1,83451
hsa-mir-16,90441
hsa-mir-16,90522
hsa-mir-16,10490
hsa-mir-16,84135
hsa-mir-16,9354
hsa-mir-16,7335
hsa-mir-16,27338
hsa-mir-16,25828
hsa-mir-16,7170
hsa-mir-16,10953
hsa-mir-16,8744
hsa-mir-16,79188
hsa-mir-16,79073
hsa-mir-16,58477
hsa-mir-16,6734
hsa-mir-16,8878
hsa-mir-16,10558
hsa-mir-16,6541
hsa-mir-16,92745
hsa-mir-16,81539
hsa-mir-16,79751
hsa-mir-16,9123
hsa-mir-16,6558
hsa-mir-16,8036
hsa-mir-16,5270
hsa-mir-16,10802
hsa-mir-16,57142
hsa-mir-16,91869
hsa-mir-16,5917
hsa-mir-16,27314
hsa-mir-16,5813
hsa-mir-16,5743
hsa-mir-16,29968
hsa-mir-16,5527
hsa-mir-16,10105
hsa-mir-16,5347
hsa-mir-16,23761
hsa-mir-16,90102
hsa-mir-16,24145
hsa-mir-16,5049
hsa-mir-16,4883
hsa-mir-16,4853
hsa-mir-16,8774
hsa-mir-16,55052
hsa-mir-16,10962
hsa-mir-16,4298
hsa-mir-16,11313
hsa-mir-16,7798
hsa-mir-16,3915
hsa-mir-16,3839
hsa-mir-16,3783
hsa-mir-16,3673
hsa-mir-16,79711
hsa-mir-16,3482
hsa-mir-16,7866
hsa-mir-16,3475
hsa-mir-16,3162
hsa-mir-16,3303
hsa-mir-16,3304
hsa-mir-16,10542
hsa-mir-16,23438
hsa-mir-16,3035
hsa-mir-16,2948
hsa-mir-16,57678
hsa-mir-16,54552
hsa-mir-16,2673
hsa-mir-16,85476
hsa-mir-16,51809
hsa-mir-16,64778
hsa-mir-16,2247
hsa-mir-16,1977
hsa-mir-16,1956
hsa-mir-16,11080
hsa-mir-16,26973
hsa-mir-16,51654
hsa-mir-16,781
hsa-mir-16,771
hsa-mir-16,79065
hsa-mir-16,29907
hsa-mir-16,402
hsa-mir-16,396
hsa-mir-16,159
hsa-mir-16,53
hsa-mir-16,55347
hsa-mir-16,10061
hsa-mir-16,2147
hsa-mir-155,57590
hsa-mir-155,9341
hsa-mir-155,51465
hsa-mir-155,7296
hsa-mir-155,51060
hsa-mir-155,9319
hsa-mir-155,22954
hsa-mir-155,23471
hsa-mir-155,8797
hsa-mir-155,6902
hsa-mir-155,4070
hsa-mir-155,6856
hsa-mir-155,23224
hsa-mir-155,9342
hsa-mir-155,4086
hsa-mir-155,7779
hsa-mir-155,23677
hsa-mir-155,6386
hsa-mir-155,9522
hsa-mir-155,6009
hsa-mir-155,23186
hsa-mir-155,5955
hsa-mir-155,26064
hsa-mir-155,5870
hsa-mir-155,5878
hsa-mir-155,83871
hsa-mir-155,5874
hsa-mir-155,51715
hsa-mir-155,5795
hsa-mir-155,5584
hsa-mir-155,11230
hsa-mir-155,5536
hsa-mir-155,5493
hsa-mir-155,56655
hsa-mir-155,54107
hsa-mir-155,5420
hsa-mir-155,23129
hsa-mir-155,5586
hsa-mir-155,8301
hsa-mir-155,1912
hsa-mir-155,10611
hsa-mir-155,5139
hsa-mir-155,4907
hsa-mir-155,4677
hsa-mir-155,4643
hsa-mir-155,4651
hsa-mir-155,124540
hsa-mir-155,9019
hsa-mir-155,158747
hsa-mir-155,64757
hsa-mir-155,25840
hsa-mir-155,54742
hsa-mir-155,4023
hsa-mir-155,23376
hsa-mir-155,83693
hsa-mir-155,51144
hsa-mir-155,10672
hsa-mir-155,114793
hsa-mir-155,3992
hsa-mir-155,1829
hsa-mir-155,29952
hsa-mir-155,131118
hsa-mir-155,3337
hsa-mir-155,79665
hsa-mir-155,1595
hsa-mir-155,8450
hsa-mir-155,1499
hsa-mir-155,9076
hsa-mir-155,10036
hsa-mir-155,1051
hsa-mir-155,80279
hsa-mir-155,865
hsa-mir-155,27154
hsa-mir-155,10282
hsa-mir-155,528
hsa-mir-155,64422
hsa-mir-155,221079
hsa-mir-155,285598
hsa-mir-155,196528
hsa-mir-155,23647
hsa-mir-155,27236
hsa-mir-155,51479
hsa-mir-155,347902
hsa-let-7b,81539
hsa-let-7b,8161
hsa-let-7b,23339
hsa-let-7b,29128
hsa-let-7b,7368
hsa-let-7b,7298
hsa-let-7b,283237
hsa-let-7b,55621
hsa-let-7b,23670
hsa-let-7b,7057
hsa-let-7b,51616
hsa-let-7b,283377
hsa-let-7b,60559
hsa-let-7b,8773
hsa-let-7b,81034
hsa-let-7b,29957
hsa-let-7b,6576
hsa-let-7b,10165
hsa-let-7b,6509
hsa-let-7b,57410
hsa-let-7b,10557
hsa-let-7b,391
hsa-let-7b,388
hsa-let-7b,157506
hsa-let-7b,9904
hsa-let-7b,7837
hsa-let-7b,5743
hsa-let-7b,5557
hsa-let-7b,5510
hsa-let-7b,9883
hsa-let-7b,5432
hsa-let-7b,5425
hsa-let-7b,10857
hsa-let-7b,64359
hsa-let-7b,4734
hsa-let-7b,4552
hsa-let-7b,51650
hsa-let-7b,64951
hsa-let-7b,79922
hsa-let-7b,4298
hsa-let-7b,92935
hsa-let-7b,79711
hsa-let-7b,10642
hsa-let-7b,2147
hsa-let-7b,3475
hsa-let-7b,24138
hsa-let-7b,3159
hsa-let-7b,2997
hsa-let-7b,84705
hsa-let-7b,134266
hsa-let-7b,9289
hsa-let-7b,79760
hsa-let-7b,22862
hsa-let-7b,84191
hsa-let-7b,54491
hsa-let-7b,9415
hsa-let-7b,54935
hsa-let-7b,11266
hsa-let-7b,1832
hsa-let-7b,80005
hsa-let-7b,90957
hsa-let-7b,1453
hsa-let-7b,29099
hsa-let-7b,27243
hsa-let-7b,54901
hsa-let-7b,10423
hsa-let-7b,23589
hsa-let-7b,822
hsa-let-7b,10241
hsa-let-7b,9212
hsa-let-7b,9296
hsa-let-7b,535
hsa-let-7b,83858
hsa-let-7b,64682
hsa-let-7b,10270
hsa-let-7b,80755
hsa-mir-9,23621
hsa-mir-433,26281
hsa-mir-429,6935
hsa-mir-376a,6566
hsa-mir-376a,7272
hsa-mir-375,7398
hsa-mir-375,3717
hsa-mir-375,79602
hsa-mir-375,708
hsa-mir-373,26524
hsa-mir-34a,1871
hsa-mir-34a,28514
hsa-mir-34a,6844
hsa-mir-30a,1021
hsa-mir-30a,9057
hsa-mir-30a,23670
hsa-mir-30a,7057
hsa-mir-30a,3491
hsa-mir-30a,7846
hsa-mir-29a,23621
hsa-mir-27b,4851
hsa-mir-27a,65986
hsa-mir-27a,4661
hsa-mir-26a,2146
hsa-mir-26a,5324
hsa-mir-24,4851
hsa-mir-23b,4851
hsa-mir-23a,6387
hsa-mir-222,3815
hsa-mir-221,3815
hsa-mir-20b,10114
hsa-mir-20b,29116
hsa-mir-20a,7048
hsa-mir-206,7402
hsa-mir-206,11167
hsa-mir-19b,23621
hsa-mir-19a,3202
hsa-mir-19a,4204
hsa-mir-16,596
hsa-mir-16,905
hsa-mir-15a,23621
hsa-mir-155,53346
hsa-mir-155,9782
hsa-mir-155,23641
hsa-mir-155,79960
hsa-mir-145,29766
hsa-mir-141,688
hsa-mir-141,6788
hsa-mir-133b,5315
hsa-mir-133a,5315
hsa-mir-124,23621
hsa-mir-124,55225
hsa-mir-124,84061
hsa-mir-124,8801
hsa-mir-124,6836
hsa-mir-124,60481
hsa-mir-124,79602
hsa-mir-124,136319
hsa-mir-106a,10114
hsa-mir-106a,29116
hsa-mir-106a,5925
hsa-mir-103a,2819
hsa-mir-1,9464
hsa-mir-1,3479
hsa-mir-1,7114
hsa-mir-1,285590
hsa-let-7b,136319
hsa-let-7b,22934
hsa-let-7b,71
hsa-let-7a,4771
hsa-let-7a,4893
hsa-let-7a,3845
hsa-mir-376a,5631
hsa-mir-376a,130557
hsa-mir-376a,399979
hsa-mir-145,3205
hsa-mir-126,3205
hsa-mir-146a,675
hsa-mir-146a,672
hsa-mir-29c,6996
hsa-mir-29c,6678
hsa-mir-29c,3915
hsa-mir-29c,1306
hsa-mir-29c,1284
hsa-mir-29c,1282
hsa-mir-29c,1278
hsa-mir-29c,2597
hsa-mir-210,4884
hsa-mir-373,27254
