Negative Sample Scores,Sampling Category
0.484354869,0
0.48706439,0
0.458887583,0
0.492914467,0
0.491392171,0
0.473015654,0
0.47333418,0
0.467596487,0
0.48391467,0
0.469232069,0
0.459664152,0
0.460941451,0
0.468541359,0
0.49878151,0
0.45616871,0
0.497836309,0
0.49987823,0
0.470486755,0
0.462657688,0
0.499186618,0
0.486447096,0
0.463738985,0
0.470760485,0
0.498346161,0
0.462915551,0
0.444282777,0
0.46666712,0
0.496576431,0
0.474345132,0
0.461983401,0
0.4969672,0
0.479425796,0
0.489649934,0
0.466377298,0
0.456861753,0
0.452925576,0
0.492272505,0
0.495937682,0
0.460418888,0
0.477604635,0
0.460925882,0
0.486274452,0
0.465877689,0
0.461478514,0
0.493743354,0
0.473676872,0
0.491608163,0
0.45535255,0
0.445335588,0
0.454185064,0
0.467224561,0
0.495194413,0
0.491804756,0
0.450590364,0
0.456302098,0
0.460536101,0
0.45903132,0
0.492733904,0
0.456594676,0
0.471883747,0
0.478524393,0
0.481693671,0
0.474857788,0
0.491472652,0
0.497956931,0
0.469543931,0
0.457640794,0
0.450117465,0
0.49170975,0
0.497139489,0
0.477036778,0
0.452027662,0
0.475277257,0
0.489258538,0
0.479450789,0
0.447489227,0
0.44651929,0
0.488164334,0
0.455685177,0
0.468163497,0
0.497044597,0
0.484209593,0
0.481177307,0
0.46105712,0
0.487123997,0
0.460565112,0
0.465516007,0
0.454877938,0
0.468994397,0
0.457624293,0
0.467181589,0
0.472386261,0
0.487789541,0
0.471378137,0
0.470998422,0
0.466497397,0
0.492043034,0
0.469762538,0
0.499605203,0
0.445749571,0
0.488324445,0
0.497556957,0
0.450419713,0
0.483865346,0
0.446984545,0
0.456088359,0
0.453590819,0
0.480176092,0
0.499765588,0
0.454182116,0
0.482731968,0
0.470356109,0
0.455716258,0
0.446493256,0
0.474312583,0
0.484321966,0
0.469781655,0
0.483372866,0
0.473685369,0
0.450289145,0
0.470036646,0
0.463309202,0
0.499647935,0
0.469279699,0
0.468202772,0
0.45030218,0
0.478020297,0
0.462148078,0
0.497771225,0
0.495879586,0
0.470626058,0
0.483482095,0
0.462401435,0
0.499149541,0
0.45288801,0
0.488126038,0
0.465495112,0
0.457259309,0
0.452449773,0
0.461288442,0
0.492393092,0
0.461539277,0
0.458214548,0
0.466125413,0
0.471823964,0
0.49992445,0
0.494273343,0
0.492234145,0
0.481168609,0
0.450527658,0
0.456140367,0
0.496737149,0
0.460075219,0
0.496087137,0
0.458748826,0
0.462890134,0
0.47141759,0
0.45199753,0
0.472199165,0
0.471744246,0
0.497893317,0
0.470690528,0
0.475938789,0
0.484926347,0
0.454384031,0
0.479834424,0
0.467151216,0
0.493777449,0
0.469362072,0
0.467486146,0
0.457748006,0
0.468522517,0
0.465812574,0
0.474964781,0
0.477330408,0
0.499868305,0
0.477721389,0
0.46089448,0
0.451913751,0
0.45112646,0
0.456989783,0
0.460633663,0
0.497949222,0
0.479580588,0
0.48524253,0
0.461675688,0
0.497280614,0
0.465941217,0
0.464035102,0
0.449507436,0
0.48383357,0
0.47640073,0
0.480113361,0
0.456747599,0
0.488073455,0
0.49121201,0
0.462398949,0
0.470775077,0
0.496710757,0
0.461947692,0
0.479693124,0
0.458805748,0
0.485815804,0
0.461895963,0
0.446735092,0
0.483501547,0
0.460935314,0
0.480476946,0
0.45623954,0
0.45315014,0
0.483334011,0
0.452996956,0
0.450032575,0
0.449329561,0
0.471435668,0
0.466240865,0
0.471624821,0
0.44404022,0
0.472562618,0
0.485983011,0
0.455528628,0
0.487670735,0
0.456454911,0
0.497706844,0
0.470968042,0
0.470376619,0
0.457652097,0
0.455354676,0
0.453064393,0
0.496936201,0
0.480816434,0
0.491701207,0
0.477284101,0
0.468306365,0
0.494620588,0
0.499375248,0
0.459443423,0
0.457011797,0
0.459169693,0
0.495161988,0
0.468447324,0
0.473442195,0
0.458895531,0
0.465415979,0
0.467113196,0
